train_loss: 1.63246963818868,val_loss: 1.6173192183176677, val_perplexity: 5.039562225634968
train_loss: 1.6263253132502238,val_loss: 1.6479586402575175, val_perplexity: 5.1963613499341115
train_loss: 1.6333182533582051,val_loss: 1.6650914152463276, val_perplexity: 5.286156462969088
train_loss: 1.66704150835673,val_loss: 1.6430026412010192, val_perplexity: 5.1706718990157166
train_loss: 1.6384827415148417,val_loss: 1.65943044424057, val_perplexity: 5.2563162265467005
train_loss: 1.6348581671714784,val_loss: 1.6347352385520935, val_perplexity: 5.128100094069001
train_loss: 1.6395577549934388,val_loss: 1.6033621112505594, val_perplexity: 4.969713095857253
train_loss: 1.672010080019633,val_loss: 1.650401735305786, val_perplexity: 5.209072075049722
train_loss: 1.6390337427457173,val_loss: 1.6544204831123352, val_perplexity: 5.230048142557261
train_loss: 1.669869883855184,val_loss: 1.6443580627441405, val_perplexity: 5.177685090942066
train_loss: 1.6476510365804036,val_loss: 1.6585322419802349, val_perplexity: 5.2515971111083255
train_loss: 1.6192496180534364,val_loss: 1.6211905360221863, val_perplexity: 5.0591097850951705
train_loss: 1.660048496723175,val_loss: 1.6425714413324992, val_perplexity: 5.1684427866037295
train_loss: 1.6269115805625916,val_loss: 1.6314886569976808, val_perplexity: 5.111478295506603
train_loss: 1.628841475645701,val_loss: 1.6525220155715943, val_perplexity: 5.220128484975422
train_loss: 1.631733282407125,val_loss: 1.629558229446411, val_perplexity: 5.101620474942751
train_loss: 1.6084231416384378,val_loss: 1.6380207220713296, val_perplexity: 5.144976090136011
train_loss: 1.6539109587669372,val_loss: 1.6057048519452413, val_perplexity: 4.981369493595198
train_loss: 1.6258153398831685,val_loss: 1.6275232275327047, val_perplexity: 5.091249223850296
train_loss: 1.6509627024332683,val_loss: 1.620608123143514, val_perplexity: 5.056164152272225
train_loss: 1.6278722167015076,val_loss: 1.6335891604423523, val_perplexity: 5.122226257387386
train_loss: 1.6330348372459411,val_loss: 1.5949154019355773, val_perplexity: 4.927912162653901
train_loss: 1.6427940209706624,val_loss: 1.6267924070358277, val_perplexity: 5.087529793846184
train_loss: 1.6695858478546142,val_loss: 1.6295872688293458, val_perplexity: 5.101768625004394
train_loss: 1.630385649204254,val_loss: 1.645833679040273, val_perplexity: 5.185331007270489
train_loss: 1.616970411936442,val_loss: 1.6156572540601095, val_perplexity: 5.031193609438987
train_loss: 1.6276586651802063,val_loss: 1.6334285219510396, val_perplexity: 5.1214034967745174
train_loss: 1.629736340045929,val_loss: 1.633719527721405, val_perplexity: 5.122894071616869
train_loss: 1.641249132156372,val_loss: 1.613733180363973, val_perplexity: 5.021522529074144
train_loss: 1.6519200921058654,val_loss: 1.6459512432416281, val_perplexity: 5.18594065240464
train_loss: 1.6142288804054261,val_loss: 1.6135712345441182, val_perplexity: 5.02070938033605
train_loss: 1.6313929756482441,val_loss: 1.6079768975575766, val_perplexity: 4.992700259430645
train_loss: 1.627901033560435,val_loss: 1.6158593098322551, val_perplexity: 5.032210293858576
train_loss: 1.6172855854034425,val_loss: 1.645350170135498, val_perplexity: 5.182824459572166
train_loss: 1.643505613009135,val_loss: 1.615283993879954, val_perplexity: 5.0293160156432295
train_loss: 1.6328216473261514,val_loss: 1.6256189544995625, val_perplexity: 5.0815633204775725
train_loss: 1.6121955037117004,val_loss: 1.6184932231903075, val_perplexity: 5.045482170585996
train_loss: 1.6072587649027505,val_loss: 1.6087499260902405, val_perplexity: 4.996561251322403
train_loss: 1.6216227451960246,val_loss: 1.6299015601476035, val_perplexity: 5.103372318591276
train_loss: 1.612751042842865,val_loss: 1.6089070916175843, val_perplexity: 4.997346600219642
train_loss: 1.6316030979156495,val_loss: 1.6175495028495788, val_perplexity: 5.040722892499819
train_loss: 1.6318917274475098,val_loss: 1.6184184153874714, val_perplexity: 5.045104743267996
train_loss: 1.6449042439460755,val_loss: 1.6097853859265645, val_perplexity: 5.001737669341854
train_loss: 1.605721390247345,val_loss: 1.6222101251284282, val_perplexity: 5.064270628842282
train_loss: 1.6354580481847127,val_loss: 1.5932183941205342, val_perplexity: 4.919556548978118
train_loss: 1.6269092996915182,val_loss: 1.5940966844558715, val_perplexity: 4.923879245962848
train_loss: 1.6200869719187418,val_loss: 1.6178715507189432, val_perplexity: 5.042346507994327
train_loss: 1.6159398198127746,val_loss: 1.6311648964881897, val_perplexity: 5.109823668555283
train_loss: 1.6184736251831056,val_loss: 1.6159706791241963, val_perplexity: 5.032770758764612
train_loss: 1.6036551674207051,val_loss: 1.6112526535987854, val_perplexity: 5.009081944019806
train_loss: 1.598604150613149,val_loss: 1.6249657313028971, val_perplexity: 5.078245009358205
train_loss: 1.5930612762769063,val_loss: 1.605106512705485, val_perplexity: 4.978389836271301
train_loss: 1.608339281876882,val_loss: 1.5945786595344544, val_perplexity: 4.926253005049762
